ancestry,match_name,match_admin,sharedCM,segments,side,mrca,gens,notes
anc_id 1,match_name 1,match_admin 1,3475,24,M,mrca 1,1,
anc_id 2,match_name 2,match_admin 2,3488.76,23,both,mrca 1,1,
anc_id 3,match_name 3,match_admin 3,3474.8535,24,both,mrca 1,1,
anc_id 4,match_name 4,match_admin 4,3460.2605,27,both,mrca 1,1,
anc_id 5,match_name 5,match_admin 5,2462.8625,45,both,mrca 1,1,
anc_id 6,match_name 6,match_admin 6,1064.4313,26,P,mrca 2.01,2.01,
anc_id 7,match_name 7,match_admin 7,980.7231,31,P,mrca 2.01,2.01,
anc_id 8,match_name 8,match_admin 8,875.7783,36,M,mrca 2.02,2.02,
anc_id 9,match_name 9,match_admin 9,481.1983,23,M,mrca 2.02,2.02,
anc_id 10,match_name 10,match_admin 10,436.0681,15,M,mrca 3.04,3.04,
anc_id 11,match_name 11,match_admin 11,283.0643,11,M,mrca 3.04,3.04,
anc_id 12,match_name 12,match_admin 12,279.178,14,M,mrca 3.03,3.03,
anc_id 13,match_name 13,match_admin 13,250.9976,10,M,mrca 3.04,3.04,
anc_id 14,match_name 14,match_admin 14,235.973,11,P,mrca 3.01,3.01,
anc_id 15,match_name 15,match_admin 15,228.1195,11,P,mrca 3.01,3.01,
anc_id 16,match_name 16,match_admin 16,209.7103,9,M,mrca 3.03,3.03,
anc_id 17,match_name 17,match_admin 17,206.9648,9,P,mrca 3.01,3.01,
anc_id 18,match_name 18,match_admin 18,204.28,12,M,mrca 3.04,3.04,
anc_id 19,match_name 19,match_admin 19,202.3204,8,M,mrca 3.03,3.03,
anc_id 20,match_name 20,match_admin 20,199.5278,11,M,mrca 3.03,3.03,
anc_id 21,match_name 21,match_admin 21,186.8148,10,M,mrca 3.04,3.04,
anc_id 22,match_name 22,match_admin 22,182.0506,7,P,mrca 4.02,4.02,
anc_id 23,match_name 23,match_admin 23,179.193,10,M,mrca 3.04,3.04,
anc_id 24,match_name 24,match_admin 24,178.788,8,M,mrca 3.03,3.03,
anc_id 25,match_name 25,match_admin 25,169.454,9,M,mrca 3.03,3.03,
anc_id 26,match_name 26,match_admin 26,168.949,9,P,mrca 4.02,4.02,
anc_id 27,match_name 27,match_admin 27,168.5889,8,M,mrca 3.03,3.03,
anc_id 28,match_name 28,match_admin 28,165.3559,5,P,mrca 4.03,4.03,
anc_id 29,match_name 29,match_admin 29,164.442,4,P,mrca 3.01,3.01,
anc_id 30,match_name 30,match_admin 30,162.1001,7,M,mrca 3.03,3.03,
anc_id 31,match_name 31,match_admin 31,157.4156,10,M,mrca 3.04,3.04,
anc_id 32,match_name 32,match_admin 32,156.105,7,M,mrca 3.04,3.04,
anc_id 33,match_name 33,match_admin 33,153.3381,7,P,mrca 4.02,4.02,
anc_id 34,match_name 34,match_admin 34,152.9746,5,M,mrca 3.03,3.03,
anc_id 35,match_name 35,match_admin 35,152.0861,4,M,mrca 3.04,3.04,
anc_id 36,match_name 36,match_admin 36,151.0626,3,M,mrca 3.03,3.03,
anc_id 37,match_name 37,match_admin 37,150.507,9,M,mrca 3.04,3.04,
anc_id 38,match_name 38,match_admin 38,149.2688,8,M,mrca 3.04,3.04,
anc_id 39,match_name 39,match_admin 39,148.0589,6,P,mrca 3.02,3.02,
anc_id 40,match_name 40,match_admin 40,147.8976,6,M,mrca 5.1,5.1,
anc_id 41,match_name 41,match_admin 41,144.1254,5,M,mrca 3.03,3.03,
anc_id 42,match_name 42,match_admin 42,142.76,3,P,mrca 3.01,3.01,
anc_id 43,match_name 43,match_admin 43,140.3023,3,P,mrca 4.01,4.01,
anc_id 44,match_name 44,match_admin 44,138.9952,9,M,mrca 3.04,3.04,
anc_id 45,match_name 45,match_admin 45,138.9753,8,M,mrca 3.03,3.03,
anc_id 46,match_name 46,match_admin 46,133.7918,7,M,mrca 3.03,3.03,
anc_id 47,match_name 47,match_admin 47,129.9651,8,M,mrca 3.04,3.04,
anc_id 48,match_name 48,match_admin 48,128.5688,7,M,mrca 3.03,3.03,
anc_id 49,match_name 49,match_admin 49,127.734,3,M,mrca 3.03,3.03,
anc_id 50,match_name 50,match_admin 50,125.605,8,P,mrca 2.01,2.01,
anc_id 51,match_name 51,match_admin 51,123.5011,5,M,mrca 3.03,3.03,
anc_id 52,match_name 52,match_admin 52,119.5102,6,M,mrca 5.1,5.1,
anc_id 53,match_name 53,match_admin 53,118.065,6,Unknown,mrca 3.03,3.03,
anc_id 54,match_name 54,match_admin 54,115.5982,4,P,mrca 3.02,3.02,
anc_id 55,match_name 55,match_admin 55,114.0046,4,M,mrca 3.03,3.03,
anc_id 56,match_name 56,match_admin 56,113.4937,7,M,mrca 5.1,5.1,
anc_id 57,match_name 57,match_admin 57,109.333,6,M,mrca 3.04,3.04,
anc_id 58,match_name 58,match_admin 58,105.4257,5,P,mrca 4.02,4.02,
anc_id 59,match_name 59,match_admin 59,103.4272,5,M,mrca 3.03,3.03,
anc_id 60,match_name 60,match_admin 60,101.649,6,M,mrca 3.03,3.03,
anc_id 61,match_name 61,match_admin 61,101.125,8,Unknown,mrca 3.03,3.03,
anc_id 62,match_name 62,match_admin 62,98.4068,5,P,mrca 4.02,4.02,
anc_id 63,match_name 63,match_admin 63,98.3051,5,P,mrca 5.03,5.03,
anc_id 64,match_name 64,match_admin 64,97.3168,6,M,mrca 5.15,5.15,
anc_id 65,match_name 65,match_admin 65,97.1387,5,P,mrca 5.02,5.02,
anc_id 66,match_name 66,match_admin 66,94.9547,5,P,mrca 4.02,4.02,
anc_id 67,match_name 67,match_admin 67,92.4139,8,M,mrca 3.04,3.04,
anc_id 68,match_name 68,match_admin 68,92.2659,5,M,mrca 6.19,6.19,
anc_id 69,match_name 69,match_admin 69,91.9505,6,P,mrca 4.01,4.01,
anc_id 70,match_name 70,match_admin 70,90.0243,3,P,mrca 4.01,4.01,
anc_id 71,match_name 71,match_admin 71,79.5185,6,M,mrca 5.15,5.15,
anc_id 72,match_name 72,match_admin 72,77.4155,5,P,mrca 4.02,4.02,
anc_id 73,match_name 73,match_admin 73,77.3985,5,P,mrca 5.03,5.03,
anc_id 74,match_name 74,match_admin 74,76.5772,2,M,mrca 5.15,5.15,
anc_id 75,match_name 75,match_admin 75,75.5851,2,M,mrca 5.15,5.15,
anc_id 76,match_name 76,match_admin 76,71.8446,3,P,mrca 4.02,4.02,
anc_id 77,match_name 77,match_admin 77,71.5943,4,M,mrca 3.03,3.03,
anc_id 78,match_name 78,match_admin 78,71.3314,4,P,mrca 4.02,4.02,
anc_id 79,match_name 79,match_admin 79,71.2893,3,M,mrca 6.19,6.19,
anc_id 80,match_name 80,match_admin 80,70.1752,7,M,mrca 3.03,3.03,
anc_id 81,match_name 81,match_admin 81,69.4264,4,M,mrca 3.04,3.04,
anc_id 82,match_name 82,match_admin 82,67.2899,4,P,mrca 4.02,4.02,
anc_id 83,match_name 83,match_admin 83,66.1325,4,M,mrca 6.19,6.19,
anc_id 84,match_name 84,match_admin 84,65.4846,2,M,mrca 7.37,7.37,
anc_id 85,match_name 85,match_admin 85,65.293,3,M,mrca 3.04,3.04,
anc_id 86,match_name 86,match_admin 86,64.4475,3,M,mrca 6.19,6.19,
anc_id 87,match_name 87,match_admin 87,63.9026,4,P,mrca 5.03,5.03,
anc_id 88,match_name 88,match_admin 88,62.9078,3,M,mrca 5.15,5.15,
anc_id 89,match_name 89,match_admin 89,62.7575,4,M,mrca 3.04,3.04,
anc_id 90,match_name 90,match_admin 90,61.5387,5,M,mrca 3.03,3.03,
anc_id 91,match_name 91,match_admin 91,61.0938,3,M,mrca 6.19,6.19,
anc_id 92,match_name 92,match_admin 92,61.0172,3,P,mrca 4.03,4.03,
anc_id 93,match_name 93,match_admin 93,60.637,3,Unknown,mrca 7.39,7.39,
anc_id 94,match_name 94,match_admin 94,60.5152,1,M,mrca 5.15,5.15,
anc_id 95,match_name 95,match_admin 95,59.9703,3,M,mrca 5.1,5.1,
anc_id 96,match_name 96,match_admin 96,59.8888,3,P,mrca 4.02,4.02,
anc_id 97,match_name 97,match_admin 97,59.6509,4,M,mrca 7.38,7.38,
anc_id 98,match_name 98,match_admin 98,59.0161,3,P,mrca 5.04,5.04,
anc_id 99,match_name 99,match_admin 99,58.9397,5,M,mrca 5.1,5.1,
anc_id 100,match_name 100,match_admin 100,58.5282,2,P,mrca 5.01,5.01,
anc_id 101,match_name 101,match_admin 101,58.4562,6,M,mrca 3.04,3.04,
anc_id 102,match_name 102,match_admin 102,57.9474,3,M,mrca 5.15,5.15,
anc_id 103,match_name 103,match_admin 103,57.1165,1,M,mrca 6.3,6.3,
anc_id 104,match_name 104,match_admin 104,56.8247,5,P,mrca 5.03,5.03,
anc_id 105,match_name 105,match_admin 105,56.6922,1,M,mrca 5.09,5.09,
anc_id 106,match_name 106,match_admin 106,56.3222,2,M,mrca 5.09,5.09,
anc_id 107,match_name 107,match_admin 107,55.9282,3,P,mrca 4.02,4.02,
anc_id 108,match_name 108,match_admin 108,55.8883,1,M,mrca 5.09,5.09,
anc_id 109,match_name 109,match_admin 109,55.8093,2,M,mrca 7.38,7.38,
anc_id 110,match_name 110,match_admin 110,55.576,4,P,mrca 3.01,3.01,
anc_id 111,match_name 111,match_admin 111,55.5586,4,M,mrca 5.1,5.1,
anc_id 112,match_name 112,match_admin 112,55.5343,2,M,mrca 5.09,5.09,
anc_id 113,match_name 113,match_admin 113,55.3721,3,P,mrca 5.03,5.03,
anc_id 114,match_name 114,match_admin 114,54.8598,1,M,mrca 5.09,5.09,
anc_id 115,match_name 115,match_admin 115,54.7217,2,M,mrca 6.3,6.3,
anc_id 116,match_name 116,match_admin 116,54.5319,4,P,mrca 4.02,4.02,
anc_id 117,match_name 117,match_admin 117,54.0672,2,M,mrca 7.39,7.39,
anc_id 118,match_name 118,match_admin 118,54.0015,2,M,mrca 6.2,6.2,
anc_id 119,match_name 119,match_admin 119,53.8206,2,M,mrca 6.19,6.19,
anc_id 120,match_name 120,match_admin 120,53.7855,2,P,mrca 4.02,4.02,
anc_id 121,match_name 121,match_admin 121,53.7115,3,M,mrca 5.15,5.15,
anc_id 122,match_name 122,match_admin 122,53.6292,1,M,mrca 7.38,7.38,
anc_id 123,match_name 123,match_admin 123,52.887,3,M,mrca 5.16,5.16,
anc_id 124,match_name 124,match_admin 124,52.884,3,M,mrca 6.22,6.22,
anc_id 125,match_name 125,match_admin 125,52.5885,4,P,mrca 3.02,3.02,
anc_id 126,match_name 126,match_admin 126,52.4959,1,P,mrca 5.06,5.06,
anc_id 127,match_name 127,match_admin 127,52.09,2,M,mrca 6.19,6.19,
anc_id 128,match_name 128,match_admin 128,52.0835,3,M,mrca 3.03,3.03,
anc_id 129,match_name 129,match_admin 129,51.8533,3,M,mrca 6.24,6.24,
anc_id 130,match_name 130,match_admin 130,51.7009,4,M,mrca 3.04,3.04,
anc_id 131,match_name 131,match_admin 131,51.4602,3,M,mrca 5.1,5.1,
anc_id 132,match_name 132,match_admin 132,51.0116,1,M,mrca 5.15,5.15,
anc_id 133,match_name 133,match_admin 133,50.9978,3,M,mrca 5.15,5.15,
anc_id 134,match_name 134,match_admin 134,50.8041,4,M,mrca 4.07,4.07,
anc_id 135,match_name 135,match_admin 135,50.7584,4,P,mrca 4.01,4.01,
anc_id 136,match_name 136,match_admin 136,50.6041,3,M,mrca 6.22,6.22,
anc_id 137,match_name 137,match_admin 137,50.5833,2,M,mrca 5.13,5.13,
anc_id 138,match_name 138,match_admin 138,50.4786,1,P,mrca 5.08,5.08,
anc_id 139,match_name 139,match_admin 139,49.8301,3,P,mrca 5.08,5.08,
anc_id 140,match_name 140,match_admin 140,49.4011,2,M,mrca 7.39,7.39,
anc_id 141,match_name 141,match_admin 141,49.0969,3,P,mrca 5.03,5.03,
anc_id 142,match_name 142,match_admin 142,49.0726,3,M,mrca 6.19,6.19,
anc_id 143,match_name 143,match_admin 143,49.0702,3,M,mrca 5.15,5.15,
anc_id 144,match_name 144,match_admin 144,49.0582,3,M,mrca 5.1,5.1,
anc_id 145,match_name 145,match_admin 145,49.0076,4,M,mrca 6.24,6.24,
anc_id 146,match_name 146,match_admin 146,49.0057,3,M,mrca 5.12,5.12,
anc_id 147,match_name 147,match_admin 147,48.8948,2,M,mrca 6.2,6.2,
anc_id 148,match_name 148,match_admin 148,48.241,5,M,mrca 3.03,3.03,
anc_id 149,match_name 149,match_admin 149,48.2186,2,M,mrca 5.1,5.1,
anc_id 150,match_name 150,match_admin 150,48.1436,3,P,mrca 4.01,4.01,
anc_id 151,match_name 151,match_admin 151,47.6155,4,M,mrca 4.07,4.07,
anc_id 152,match_name 152,match_admin 152,47.5385,6,M,mrca 3.03,3.03,
anc_id 153,match_name 153,match_admin 153,47.2385,4,M,mrca 5.1,5.1,
anc_id 154,match_name 154,match_admin 154,47.1899,3,M,mrca 5.15,5.15,
anc_id 155,match_name 155,match_admin 155,46.9968,2,M,mrca 7.39,7.39,
anc_id 156,match_name 156,match_admin 156,46.4122,3,P,mrca 4.03,4.03,
anc_id 157,match_name 157,match_admin 157,46.3681,3,P,mrca 4.02,4.02,
anc_id 158,match_name 158,match_admin 158,46.256,4,M,mrca 6.24,6.24,
anc_id 159,match_name 159,match_admin 159,46.2553,2,M,mrca 4.06,4.06,
anc_id 160,match_name 160,match_admin 160,46.2299,3,P,mrca 5.04,5.04,
anc_id 161,match_name 161,match_admin 161,46.0847,3,M,mrca 4.06,4.06,
anc_id 162,match_name 162,match_admin 162,46.0488,3,M,mrca 5.15,5.15,
anc_id 163,match_name 163,match_admin 163,46.0246,2,M,mrca 5.1,5.1,
anc_id 164,match_name 164,match_admin 164,45.878,3,M,mrca 5.1,5.1,
anc_id 165,match_name 165,match_admin 165,45.7476,1,M,mrca 6.3,6.3,
anc_id 166,match_name 166,match_admin 166,45.6627,2,M,mrca 7.38,7.38,
anc_id 167,match_name 167,match_admin 167,45.3788,3,M,mrca 6.3,6.3,
anc_id 168,match_name 168,match_admin 168,45.1663,2,P,mrca 6.12,6.12,
anc_id 169,match_name 169,match_admin 169,45.1309,4,M,mrca 3.03,3.03,
anc_id 170,match_name 170,match_admin 170,45.0291,3,M,mrca 5.1,5.1,
anc_id 171,match_name 171,match_admin 171,44.9895,1,M,mrca 5.1,5.1,
anc_id 172,match_name 172,match_admin 172,44.9816,3,P,mrca 5.03,5.03,
anc_id 173,match_name 173,match_admin 173,44.8332,5,P,mrca 5.03,5.03,
anc_id 174,match_name 174,match_admin 174,44.3942,2,M,mrca 5.12,5.12,
anc_id 175,match_name 175,match_admin 175,44.3269,4,P,mrca 4.02,4.02,
anc_id 176,match_name 176,match_admin 176,44.2781,1,M,mrca 7.39,7.39,
anc_id 177,match_name 177,match_admin 177,44.2534,3,M,mrca 5.1,5.1,
anc_id 178,match_name 178,match_admin 178,44.213,4,M,mrca 6.19,6.19,
anc_id 179,match_name 179,match_admin 179,44.178,2,P,mrca 5.01,5.01,
anc_id 180,match_name 180,match_admin 180,44.0944,1,P,mrca 5.08,5.08,
anc_id 181,match_name 181,match_admin 181,44.067,2,P,mrca 6.08,6.08,
anc_id 182,match_name 182,match_admin 182,43.7727,3,M,mrca 6.21,6.21,
anc_id 183,match_name 183,match_admin 183,43.6602,1,M,mrca 6.26,6.26,
anc_id 184,match_name 184,match_admin 184,43.6004,2,M,mrca 6.24,6.24,
anc_id 185,match_name 185,match_admin 185,43.1562,1,M,mrca 6.26,6.26,
anc_id 186,match_name 186,match_admin 186,43.1447,2,M,mrca 5.15,5.15,
anc_id 187,match_name 187,match_admin 187,43.0336,2,M,mrca 6.19,6.19,
anc_id 188,match_name 188,match_admin 188,42.9685,2,P,mrca 5.03,5.03,
anc_id 189,match_name 189,match_admin 189,42.9302,3,M,mrca 6.19,6.19,
anc_id 190,match_name 190,match_admin 190,42.6478,1,P,mrca 6.15,6.15,
anc_id 191,match_name 191,match_admin 191,42.531,2,M,mrca 5.11,5.11,
anc_id 192,match_name 192,match_admin 192,42.5055,3,M,mrca 5.1,5.1,
anc_id 193,match_name 193,match_admin 193,42.4323,2,M,mrca 5.12,5.12,
anc_id 194,match_name 194,match_admin 194,42.3803,3,P,mrca 4.01,4.01,
anc_id 195,match_name 195,match_admin 195,42.3662,3,Unknown,mrca 7.04,7.04,
anc_id 196,match_name 196,match_admin 196,42.3426,4,P,mrca 4.01,4.01,
anc_id 197,match_name 197,match_admin 197,42.3231,2,P,mrca 4.03,4.03,
anc_id 198,match_name 198,match_admin 198,42.2185,3,M,mrca 6.19,6.19,
anc_id 199,match_name 199,match_admin 199,42.179,4,P,mrca 3.02,3.02,
anc_id 200,match_name 200,match_admin 200,41.9814,1,P,mrca 6.15,6.15,
anc_id 201,match_name 201,match_admin 201,41.9385,1,P,mrca 6.15,6.15,
anc_id 202,match_name 202,match_admin 202,41.9351,2,M,mrca 5.1,5.1,
anc_id 203,match_name 203,match_admin 203,41.8502,2,M,mrca 5.15,5.15,
anc_id 204,match_name 204,match_admin 204,41.8213,2,P,mrca 7.04,7.04,
anc_id 205,match_name 205,match_admin 205,41.5665,4,P,mrca 5.08,5.08,
anc_id 206,match_name 206,match_admin 206,41.5646,2,M,mrca 7.37,7.37,
anc_id 207,match_name 207,match_admin 207,41.3491,3,M,mrca 6.19,6.19,
anc_id 208,match_name 208,match_admin 208,41.2834,2,P,mrca 7.04,7.04,
anc_id 209,match_name 209,match_admin 209,41.2522,3,Unknown,mrca 6.3,6.3,
anc_id 210,match_name 210,match_admin 210,41.0061,2,M,mrca 7.38,7.38,
anc_id 211,match_name 211,match_admin 211,40.9045,1,P,mrca 5.08,5.08,
anc_id 212,match_name 212,match_admin 212,40.8316,1,M,mrca 6.3,6.3,
anc_id 213,match_name 213,match_admin 213,40.7402,3,P,mrca 4.03,4.03,
anc_id 214,match_name 214,match_admin 214,40.6282,3,M,mrca 3.03,3.03,
anc_id 215,match_name 215,match_admin 215,40.5737,1,M,mrca 6.26,6.26,
anc_id 216,match_name 216,match_admin 216,40.4522,3,M,mrca 6.2,6.2,
anc_id 217,match_name 217,match_admin 217,40.4373,3,M,mrca 3.04,3.04,
anc_id 218,match_name 218,match_admin 218,40.4112,2,M,mrca 4.06,4.06,
anc_id 219,match_name 219,match_admin 219,40.2879,3,P,mrca 5.03,5.03,
anc_id 220,match_name 220,match_admin 220,40.2203,4,P,mrca 7.14,7.14,
anc_id 221,match_name 221,match_admin 221,40.197,3,M,mrca 7.37,7.37,
anc_id 222,match_name 222,match_admin 222,40.115,3,M,mrca 5.1,5.1,
anc_id 223,match_name 223,match_admin 223,39.959,1,P,mrca 7.07,7.07,
anc_id 224,match_name 224,match_admin 224,39.8216,4,P,mrca 4.01,4.01,
anc_id 225,match_name 225,match_admin 225,39.7854,3,M,mrca 3.03,3.03,
anc_id 226,match_name 226,match_admin 226,39.704,2,P,mrca 5.08,5.08,
anc_id 227,match_name 227,match_admin 227,39.6535,3,M,mrca 6.22,6.22,
anc_id 228,match_name 228,match_admin 228,39.4351,4,P,mrca 4.02,4.02,
anc_id 229,match_name 229,match_admin 229,39.4132,3,M,mrca 6.24,6.24,
anc_id 230,match_name 230,match_admin 230,39.3301,5,M,mrca 3.04,3.04,
anc_id 231,match_name 231,match_admin 231,39.3183,2,M,mrca 6.19,6.19,
anc_id 232,match_name 232,match_admin 232,39.2971,2,P,mrca 6.07,6.07,
anc_id 233,match_name 233,match_admin 233,39.1668,1,M,mrca 6.26,6.26,
anc_id 234,match_name 234,match_admin 234,39.1576,4,P,mrca 5.03,5.03,
anc_id 235,match_name 235,match_admin 235,39.1266,2,M,mrca 5.09,5.09,
anc_id 236,match_name 236,match_admin 236,38.9209,3,M,mrca 5.1,5.1,
anc_id 237,match_name 237,match_admin 237,38.9142,2,M,mrca 6.19,6.19,
anc_id 238,match_name 238,match_admin 238,38.9133,2,P,mrca 7.04,7.04,
anc_id 239,match_name 239,match_admin 239,38.8512,1,M,mrca 6.19,6.19,
anc_id 240,match_name 240,match_admin 240,38.8446,2,P,mrca 7.04,7.04,
anc_id 241,match_name 241,match_admin 241,38.7904,2,Unknown,mrca 6.19,6.19,
anc_id 242,match_name 242,match_admin 242,38.7545,1,M,mrca 6.3,6.3,
anc_id 243,match_name 243,match_admin 243,38.7146,2,P,mrca 5.03,5.03,
anc_id 244,match_name 244,match_admin 244,38.6635,3,M,mrca 5.15,5.15,
anc_id 245,match_name 245,match_admin 245,38.6569,2,P,mrca 7.04,7.04,
anc_id 246,match_name 246,match_admin 246,38.5512,2,M,mrca 7.37,7.37,
anc_id 247,match_name 247,match_admin 247,38.4283,3,P,mrca 4.02,4.02,
anc_id 248,match_name 248,match_admin 248,38.3934,4,P,mrca 5.03,5.03,
anc_id 249,match_name 249,match_admin 249,38.2031,2,M,mrca 6.19,6.19,
anc_id 250,match_name 250,match_admin 250,38.2026,3,P,mrca 7.12,7.12,
anc_id 251,match_name 251,match_admin 251,38.1324,2,P,mrca 4.01,4.01,
